VISIT_AREA_TYPE_CD,TRAVEL_STYL_3,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MISSION_INT,VISIT_AREA_NM,DGSTFN
5,2,자녀 동반 여행,5,김천종합운동장,5
11,1,자녀 동반 여행,8,자유 궁,4
24,1,자녀 동반 여행,8,포천 자연마을 서울 캠핑장,5
13,1,자녀 동반 여행,8,고석정 국민관광지,5
22,2,3인 이상 여행(가족 외),3,여항산 제일 간 장,3
1,2,3인 이상 여행(가족 외),3,별천계곡,3
7,2,3인 이상 여행(가족 외),3,여항산 호수길,4
22,2,3인 이상 여행(가족 외),3,여항산 제일 간 장,1
2,2,3인 이상 여행(가족 외),3,무진장,3
4,2,3인 이상 여행(가족 외),3,식목일,3
11,2,3인 이상 여행(가족 외),3,하마스 빅버거,4
1,2,3인 이상 여행(가족 외),3,광암해수욕장,4
11,2,3인 이상 여행(가족 외),3,주도 횟집,5
22,2,3인 이상 여행(가족 외),3,여항산 제일 간장,5
1,1,나홀로 여행,23,고석정 꽃밭,4
11,1,나홀로 여행,23,상하이,4
11,1,나홀로 여행,23,카페 마들렌,4
24,1,나홀로 여행,23,엠앤 러키 호텔,4
4,1,나홀로 여행,23,익선동 한옥거리,5
24,1,나홀로 여행,23,이비스 스타일 앰배서더 명동,5
24,1,나홀로 여행,23,이비스 스타일 앰배서더 명동,5
4,1,나홀로 여행,23,이누스 강남 직영점,4
11,1,나홀로 여행,23,앰배서더 서울 풀만 더 라운지 앤 바,5
11,1,나홀로 여행,23,스미 로우,5
2,1,나홀로 여행,23,천주교 서울 대교구 주교좌 명동 대성당,5
11,2,나홀로 여행,22,바비치 성서점,5
22,2,나홀로 여행,22,성서 동서 화성타운 아파트,1
7,2,나홀로 여행,22,대구 성서운동장,4
22,2,나홀로 여행,22,성서 동서 화성타운 아파트,5
1,2,나홀로 여행,22,와룡산,5
22,2,나홀로 여행,22,성서 동서 화성타운 아파트,3
11,2,나홀로 여행,22,바라던 바다 대게 새우,4
1,2,나홀로 여행,22,금호 꽃섬,5
22,2,나홀로 여행,22,성서 동서 화성타운 아파트,5
8,2,나홀로 여행,22,이곳 장미공원,5
11,2,나홀로 여행,22,설빙 대구 성서점,5
11,2,나홀로 여행,22,풍년 구생 막창 본점,5
22,2,나홀로 여행,22,성서 동서 화성타운 아파트,2
13,1,2인 여행(가족 외),5,가리산 레포츠파크,5
11,1,2인 여행(가족 외),5,한마음 정육 식당 강원 홍천점,5
11,1,3인 이상 여행(가족 외),7,백년손님,5
4,1,3인 이상 여행(가족 외),7,러키 할인마트 대부점,5
4,1,3인 이상 여행(가족 외),7,러키 할인마트 대부점,5
11,1,3인 이상 여행(가족 외),7,대부도 맛집 풍경,5
4,1,3인 이상 여행(가족 외),7,라라랜드,5
13,1,3인 이상 여행(가족 외),7,화개 장터,5
24,1,3인 이상 여행(가족 외),7,와바 모텔,5
1,1,3인 이상 여행(가족 외),7,노산공원,5
11,1,3인 이상 여행(가족 외),7,고가네 칼국수,5
11,2,2인 여행(가족 외),6,스타벅스 리버사이드대성리DT점,4
13,2,2인 여행(가족 외),6,텐파크,4
24,2,2인 여행(가족 외),6,에그하우스,3
11,2,2인 여행(가족 외),6,라멘 선생 수제돈가스,3
7,2,2인 여행(가족 외),6,가평 잣 고을시장,3
24,2,2인 여행(가족 외),6,에그하우스,3
1,2,2인 여행(가족 외),6,용추계곡,4
11,2,2인 여행(가족 외),6,공원 막국수,5
11,2,2인 여행(가족 외),6,더 플래츠,3
4,2,2인 여행(가족 외),6,동두천 관광특구,4
4,2,2인 여행(가족 외),6,롯데 프리미엄 아울렛 파주점,4
24,2,2인 여행(가족 외),6,네이처 스파,4
11,2,2인 여행(가족 외),6,더티 트렁크,4
4,2,2인 여행(가족 외),6,이마트 파주 운정점,3
9,2,2인 여행(가족 외),6,미키 주유소,4
24,3,2인 여행(가족 외),5,아롬 스파 펜션,4
5,3,2인 여행(가족 외),5,르푸앵 수상 레저,3
11,3,2인 여행(가족 외),5,남이섬 웰빙 닭갈비 막국수,5
10,3,2인 여행(가족 외),5,세븐일레븐 남이섬점,4
11,3,2인 여행(가족 외),5,엄마네 칼국수,5
11,3,2인 여행(가족 외),5,개화당 본점,5
1,3,2인 여행(가족 외),5,제이드가든 수목원,5
10,3,2인 여행(가족 외),5,가평군 농협 하나로마트 본점,5
12,3,2인 여행(가족 외),5,명지산 주유소,4
24,3,2인 여행(가족 외),5,또바기 스파 글램핑,5
11,3,2인 여행(가족 외),5,우렁이 쌈밥,5
9,3,2인 여행(가족 외),5,남이섬 가평 선착장,4
1,3,2인 여행(가족 외),5,남이섬,5
11,3,2인 여행(가족 외),5,스윙 카페 베이커리,4
10,3,2인 여행(가족 외),5,남이섬 바이크 센터,4
11,3,2인 여행(가족 외),5,소나타 카페,3
11,3,2인 여행(가족 외),5,카페 느리게 걷기,5
1,3,2인 여행(가족 외),5,자라섬,5
11,3,2인 여행(가족 외),5,남이섬 풍경 닭갈비,5
2,1,2인 가족 여행,3,제 따오나 선원,4
11,1,2인 가족 여행,3,풍물 옹심이 칼국수,5
2,1,2인 가족 여행,3,국립춘천 박물관,5
22,2,부모 동반 여행,28,인창 6단지 주공아파트,4
1,2,부모 동반 여행,28,드름산,3
12,3,2인 가족 여행,4,W 웨딩,4
11,3,2인 가족 여행,4,해돈촌 돼지국밥,4
11,3,2인 가족 여행,4,딥플로우 브루잉,5
11,3,2인 가족 여행,4,시고 조개구이,5
22,3,2인 가족 여행,4,비치그린아파트,2
10,3,2인 가족 여행,4,GS 더 프레시 경성 부경대점,4
11,3,2인 가족 여행,4,구자운 과자점 교대점,5
1,3,2인 가족 여행,4,회동수원지,5
2,3,2인 가족 여행,4,범어사,4
22,3,2인 가족 여행,4,한터 빌,4
7,3,2인 가족 여행,4,방어진항 남 방파제,4
22,3,2인 가족 여행,4,월드 스카이파크 아파트,3
1,3,2인 가족 여행,4,슬도,5
1,3,2인 가족 여행,4,대왕암공원 출렁다리,4
12,3,2인 가족 여행,4,훈스짐,5
22,3,2인 가족 여행,4,서부 성원상떼빌 아파트,4
1,3,2인 가족 여행,4,일산해수욕장,5
22,3,2인 가족 여행,4,월드 스카이파크 아파트,5
24,5,2인 여행(가족 외),22,하이 오션 경포,4
11,5,2인 여행(가족 외),22,차연희 순두부 청국장,4
11,5,2인 여행(가족 외),22,롱 블랙,2
24,5,2인 여행(가족 외),22,하이 오션 경포,4
11,5,2인 여행(가족 외),22,오봉이 해물칼국수,4
7,5,2인 여행(가족 외),22,경포해수욕장,5
24,5,2인 여행(가족 외),22,하이 오션 경포,4
11,5,2인 여행(가족 외),22,남경 막국수,5
1,5,2인 여행(가족 외),22,소 돌아들 바위,5
11,5,2인 여행(가족 외),22,강냉이 소쿠리,4
11,5,2인 여행(가족 외),22,순두부 젤라또 3호점,3
11,5,2인 여행(가족 외),22,초당 커피 정미소,3
11,5,2인 여행(가족 외),22,메밀에 감자,4
2,5,2인 여행(가족 외),22,주문진 방사제,4
11,5,2인 여행(가족 외),22,카페 콥스,4
21,5,2인 여행(가족 외),22,호반베르디움 센트럴 포레 아파트,2
11,5,2인 여행(가족 외),22,수제어묵 크로켓,4
11,5,2인 여행(가족 외),22,이와 국수 1호점,4
11,5,2인 여행(가족 외),22,에이엔 브레드,4
1,3,2인 가족 여행,6,철원 한탄강 주상절리길 드르니 매표소,4
1,3,2인 가족 여행,6,철원 한탄강 주상절리길 순담 매표소,4
11,3,2인 가족 여행,6,기와집,3
2,3,2인 가족 여행,6,고석정,5
1,3,2인 가족 여행,6,포천아트밸리,5
4,3,2인 가족 여행,6,명동거리,3
9,3,2인 가족 여행,6,신원 다 마을,5
4,3,2인 가족 여행,6,송이네,5
4,3,2인 가족 여행,6,이마트 에브리데이 신원 당적,5
